repo,query_type,api_type,trial,response_time_ms,response_size_bytes
openclaw/openclaw,simple,rest,1,451.728,6334
openclaw/openclaw,simple,graphql,2,2158.117,478
openclaw/openclaw,simple,rest,2,448.591,6334
openclaw/openclaw,simple,graphql,3,2733.827,478
openclaw/openclaw,simple,rest,3,475.767,6334
openclaw/openclaw,simple,graphql,4,2142.043,478
openclaw/openclaw,simple,rest,4,467.881,6334
openclaw/openclaw,simple,graphql,5,2134.154,478
openclaw/openclaw,simple,rest,5,470.865,6334
openclaw/openclaw,medium,graphql,1,772.352,7316
openclaw/openclaw,medium,rest,1,1105.246,100441
openclaw/openclaw,medium,graphql,2,828.702,7316
openclaw/openclaw,medium,rest,2,1278.23,100441
openclaw/openclaw,medium,graphql,3,770.164,7316
openclaw/openclaw,medium,rest,3,1432.642,100441
openclaw/openclaw,medium,graphql,4,738.367,7316
openclaw/openclaw,medium,rest,4,1242.429,100441
openclaw/openclaw,medium,graphql,5,763.37,7316
openclaw/openclaw,medium,rest,5,1549.712,100441
openclaw/openclaw,complex,graphql,1,1050.615,83958
openclaw/openclaw,complex,rest,1,9499.306,198367
openclaw/openclaw,complex,graphql,2,950.08,83958
openclaw/openclaw,complex,rest,2,8968.924,198367
openclaw/openclaw,complex,graphql,3,1293.562,83958
openclaw/openclaw,complex,rest,3,9243.789,198367
openclaw/openclaw,complex,graphql,4,1033.531,83958
openclaw/openclaw,complex,rest,4,9313.619,198367
openclaw/openclaw,complex,graphql,5,918.887,83958
openclaw/openclaw,complex,rest,5,9459.416,198367
nilbuild/developer-roadmap,simple,graphql,1,538.209,516
nilbuild/developer-roadmap,simple,rest,1,399.317,6024
nilbuild/developer-roadmap,simple,graphql,2,639.228,516
nilbuild/developer-roadmap,simple,rest,2,449.724,6024
nilbuild/developer-roadmap,simple,graphql,3,605.613,516
nilbuild/developer-roadmap,simple,rest,3,447.175,6024
nilbuild/developer-roadmap,simple,graphql,4,658.2,516
nilbuild/developer-roadmap,simple,rest,4,439.581,6024
nilbuild/developer-roadmap,simple,graphql,5,618.477,516
nilbuild/developer-roadmap,simple,rest,5,418.896,6024
nilbuild/developer-roadmap,medium,graphql,1,558.464,5242
nilbuild/developer-roadmap,medium,rest,1,1117.126,79921
nilbuild/developer-roadmap,medium,graphql,2,621.826,5242
nilbuild/developer-roadmap,medium,rest,2,1031.162,79921
nilbuild/developer-roadmap,medium,graphql,3,611.369,5242
nilbuild/developer-roadmap,medium,rest,3,1255.8,79921
nilbuild/developer-roadmap,medium,graphql,4,628.081,5242
nilbuild/developer-roadmap,medium,rest,4,1040.739,79921
nilbuild/developer-roadmap,medium,graphql,5,785.319,5242
nilbuild/developer-roadmap,medium,rest,5,1086.882,79921
nilbuild/developer-roadmap,complex,graphql,1,1099.175,3522
nilbuild/developer-roadmap,complex,rest,1,8570.575,193286
nilbuild/developer-roadmap,complex,graphql,2,1059.369,3522
nilbuild/developer-roadmap,complex,rest,2,8847.419,193286
nilbuild/developer-roadmap,complex,graphql,3,679.611,3522
nilbuild/developer-roadmap,complex,rest,3,8686.646,193286
nilbuild/developer-roadmap,complex,graphql,4,1207.064,3522
nilbuild/developer-roadmap,complex,rest,4,8575.427,193286
nilbuild/developer-roadmap,complex,graphql,5,735.727,3522
nilbuild/developer-roadmap,complex,rest,5,8688.759,193286
donnemartin/system-design-primer,simple,graphql,1,622.531,527
donnemartin/system-design-primer,simple,rest,1,447.66,6170
donnemartin/system-design-primer,simple,graphql,2,663.443,527
donnemartin/system-design-primer,simple,rest,2,440.887,6170
donnemartin/system-design-primer,simple,graphql,3,584.155,527
donnemartin/system-design-primer,simple,rest,3,408.427,6170
donnemartin/system-design-primer,simple,graphql,4,581.485,527
donnemartin/system-design-primer,simple,rest,4,405.809,6170
donnemartin/system-design-primer,simple,graphql,5,530.541,527
donnemartin/system-design-primer,simple,rest,5,399.763,6170
donnemartin/system-design-primer,medium,graphql,1,541.949,4249
donnemartin/system-design-primer,medium,rest,1,1134.098,69839
donnemartin/system-design-primer,medium,graphql,2,677.319,4249
donnemartin/system-design-primer,medium,rest,2,1117.972,69839
donnemartin/system-design-primer,medium,graphql,3,575.512,4249
donnemartin/system-design-primer,medium,rest,3,1177.536,69839
donnemartin/system-design-primer,medium,graphql,4,674.754,4249
donnemartin/system-design-primer,medium,rest,4,1077.504,69839
donnemartin/system-design-primer,medium,graphql,5,626.119,4249
donnemartin/system-design-primer,medium,rest,5,1233.642,69839
donnemartin/system-design-primer,complex,graphql,1,1126.637,4091
donnemartin/system-design-primer,complex,rest,1,8990.007,187429
donnemartin/system-design-primer,complex,graphql,2,927.763,4091
donnemartin/system-design-primer,complex,rest,2,9260.882,187429
donnemartin/system-design-primer,complex,graphql,3,1045.516,4091
donnemartin/system-design-primer,complex,rest,3,8973.262,187429
donnemartin/system-design-primer,complex,graphql,4,809.7,4091
donnemartin/system-design-primer,complex,rest,4,9037.29,187429
donnemartin/system-design-primer,complex,graphql,5,1076.465,4091
donnemartin/system-design-primer,complex,rest,5,9279.782,187429
jwasham/coding-interview-university,simple,graphql,1,624.583,485
jwasham/coding-interview-university,simple,rest,1,411.393,6359
jwasham/coding-interview-university,simple,graphql,2,544.721,485
jwasham/coding-interview-university,simple,rest,2,413.02,6359
jwasham/coding-interview-university,simple,graphql,3,577.805,485
jwasham/coding-interview-university,simple,rest,3,482.997,6359
jwasham/coding-interview-university,simple,graphql,4,601.987,485
jwasham/coding-interview-university,simple,rest,4,466.627,6359
jwasham/coding-interview-university,simple,graphql,5,592.83,485
jwasham/coding-interview-university,simple,rest,5,429.475,6359
jwasham/coding-interview-university,medium,graphql,1,595.914,3967
jwasham/coding-interview-university,medium,rest,1,1065.103,70685
jwasham/coding-interview-university,medium,graphql,2,665.56,3967
jwasham/coding-interview-university,medium,rest,2,1199.107,70685
jwasham/coding-interview-university,medium,graphql,3,761.669,3967
jwasham/coding-interview-university,medium,rest,3,1072.333,70685
jwasham/coding-interview-university,medium,graphql,4,616.165,3967
jwasham/coding-interview-university,medium,rest,4,1178.824,70685
jwasham/coding-interview-university,medium,graphql,5,561.276,3967
jwasham/coding-interview-university,medium,rest,5,1043.436,70685
jwasham/coding-interview-university,complex,graphql,1,1242.178,3699
jwasham/coding-interview-university,complex,rest,1,8812.164,158052
jwasham/coding-interview-university,complex,graphql,2,1126.762,3699
jwasham/coding-interview-university,complex,rest,2,8651.008,158052
jwasham/coding-interview-university,complex,graphql,3,1417.06,3699
jwasham/coding-interview-university,complex,rest,3,9114.056,158052
jwasham/coding-interview-university,complex,graphql,4,818.471,3699
jwasham/coding-interview-university,complex,rest,4,8573.06,158052
jwasham/coding-interview-university,complex,graphql,5,818.701,3699
jwasham/coding-interview-university,complex,rest,5,13822.825,158052
vinta/awesome-python,simple,graphql,1,562.131,470
vinta/awesome-python,simple,rest,1,410.536,5478
vinta/awesome-python,simple,graphql,2,553.638,470
vinta/awesome-python,simple,rest,2,412.696,5478
vinta/awesome-python,simple,graphql,3,617.342,470
vinta/awesome-python,simple,rest,3,438.8,5478
vinta/awesome-python,simple,graphql,4,614.619,470
vinta/awesome-python,simple,rest,4,401.203,5478
vinta/awesome-python,simple,graphql,5,604.958,470
vinta/awesome-python,simple,rest,5,396.089,5478
vinta/awesome-python,medium,graphql,1,390.43,125
vinta/awesome-python,medium,rest,1,1098.749,85254
vinta/awesome-python,medium,graphql,2,387.982,125
vinta/awesome-python,medium,rest,2,1061.059,85254
vinta/awesome-python,medium,graphql,3,360.535,125
vinta/awesome-python,medium,rest,3,1096.759,85254
vinta/awesome-python,medium,graphql,4,391.079,125
vinta/awesome-python,medium,rest,4,1134.265,85254
vinta/awesome-python,medium,graphql,5,374.391,125
vinta/awesome-python,medium,rest,5,1183.853,85254
vinta/awesome-python,complex,graphql,1,1336.147,7674
vinta/awesome-python,complex,rest,1,8750.171,173986
vinta/awesome-python,complex,graphql,2,1320.239,7674
vinta/awesome-python,complex,rest,2,8814.367,173986
vinta/awesome-python,complex,graphql,3,923.964,7674
vinta/awesome-python,complex,rest,3,9031.943,173986
vinta/awesome-python,complex,graphql,4,1335.056,7674
vinta/awesome-python,complex,rest,4,9856.907,173986
vinta/awesome-python,complex,graphql,5,776.342,7674
vinta/awesome-python,complex,rest,5,8911.228,173986
awesome-selfhosted/awesome-selfhosted,simple,graphql,1,577.401,516
awesome-selfhosted/awesome-selfhosted,simple,rest,1,460.321,7558
awesome-selfhosted/awesome-selfhosted,simple,graphql,2,596.124,516
awesome-selfhosted/awesome-selfhosted,simple,rest,2,458.538,7558
awesome-selfhosted/awesome-selfhosted,simple,graphql,3,545.253,516
awesome-selfhosted/awesome-selfhosted,simple,rest,3,459.978,7558
awesome-selfhosted/awesome-selfhosted,simple,graphql,4,656.946,516
awesome-selfhosted/awesome-selfhosted,simple,rest,4,475.5,7558
awesome-selfhosted/awesome-selfhosted,simple,graphql,5,594.001,516
awesome-selfhosted/awesome-selfhosted,simple,rest,5,451.238,7558
awesome-selfhosted/awesome-selfhosted,medium,graphql,1,356.13,142
awesome-selfhosted/awesome-selfhosted,medium,rest,1,896.641,7560
awesome-selfhosted/awesome-selfhosted,medium,graphql,2,395.01,142
awesome-selfhosted/awesome-selfhosted,medium,rest,2,819.678,7560
